Date,"Jurgen Klopp"
2016-10-29,119
2016-10-30,84
2016-10-31,72
2016-11-01,71
2016-11-02,59
2016-11-03,94
2016-11-04,66
2016-11-05,62
2016-11-06,179
2016-11-07,159
2016-11-08,87
2016-11-09,40
2016-11-10,45
2016-11-11,46
2016-11-12,48
2016-11-13,29
2016-11-14,58
2016-11-15,51
2016-11-16,42
2016-11-17,70
2016-11-18,72
2016-11-19,66
2016-11-20,51
2016-11-21,58
2016-11-22,63
2016-11-23,45
2016-11-24,43
2016-11-25,48
2016-11-26,80
2016-11-27,88
2016-11-28,73
2016-11-29,65
2016-11-30,99
2016-12-01,53
2016-12-02,58
2016-12-03,53
2016-12-04,75
2016-12-05,47
2016-12-06,54
2016-12-07,56
2016-12-08,47
2016-12-09,45
2016-12-10,38
2016-12-11,73
2016-12-12,69
2016-12-13,60
2016-12-14,55
2016-12-15,63
2016-12-16,53
2016-12-17,53
2016-12-18,37
2016-12-19,90
2016-12-20,121
2016-12-21,56
2016-12-22,61
2016-12-23,49
2016-12-24,46
2016-12-25,53
2016-12-26,55
2016-12-27,100
2016-12-28,90
2016-12-29,75
2016-12-30,86
2016-12-31,147
2017-01-01,121
2017-01-02,108
2017-01-03,87
2017-01-04,75
2017-01-05,72
2017-01-06,60
2017-01-07,39
2017-01-08,73
2017-01-09,71
2017-01-10,48
2017-01-11,74
2017-01-12,54
2017-01-13,63
2017-01-14,55
2017-01-15,134
2017-01-16,83
2017-01-17,68
2017-01-18,59
2017-01-19,44
2017-01-20,57
2017-01-21,69
2017-01-22,48
2017-01-23,65
2017-01-24,62
2017-01-25,94
2017-01-26,91
2017-01-27,64
2017-01-28,136
2017-01-29,83
2017-01-30,83
2017-01-31,88
2017-02-01,73
2017-02-02,55
2017-02-03,55
2017-02-04,73
2017-02-05,80
2017-02-06,55
2017-02-07,82
2017-02-08,56
2017-02-09,49
2017-02-10,45
2017-02-11,79
2017-02-12,61
2017-02-13,45
2017-02-14,41
2017-02-15,43
2017-02-16,54
